L_mm,r_abs,contrast_dB,contrast_linear,n_mode,S_mid
1.0000,0.5000,9.5423,8.9997,1,0.499993
1.1206,0.5000,9.5423,8.9997,1,0.499994
1.2412,0.5000,9.5423,8.9997,1,0.499994
1.3618,0.5000,9.5423,8.9998,1,0.499995
1.4824,0.5000,9.5423,8.9998,1,0.499995
1.6030,0.5000,9.5420,8.9992,2,0.499982
1.7236,0.5000,9.5420,8.9992,2,0.499984
1.8442,0.5000,9.5421,8.9993,2,0.499985
1.9648,0.5000,9.5421,8.9993,2,0.499986
2.0854,0.5000,9.5421,8.9994,2,0.499987
2.2060,0.5000,9.5421,8.9994,2,0.499987
2.3266,0.5000,9.5421,8.9994,2,0.499988
2.4472,0.5000,9.5422,8.9994,2,0.499989
2.5678,0.5000,9.5419,8.9988,3,0.499975
2.6884,0.5000,9.5419,8.9989,3,0.499976
2.8090,0.5000,9.5419,8.9989,3,0.499977
2.9296,0.5000,9.5419,8.9990,3,0.499978
3.0503,0.5000,9.5419,8.9990,3,0.499979
3.1709,0.5000,9.5420,8.9990,3,0.499980
3.2915,0.5000,9.5420,8.9991,3,0.499981
3.4121,0.5000,9.5420,8.9991,3,0.499981
3.5327,0.5000,9.5417,8.9985,4,0.499968
3.6533,0.5000,9.5417,8.9985,4,0.499969
3.7739,0.5000,9.5417,8.9986,4,0.499970
3.8945,0.5000,9.5418,8.9986,4,0.499971
4.0151,0.5000,9.5418,8.9987,4,0.499972
4.1357,0.5000,9.5418,8.9987,4,0.499973
4.2563,0.5000,9.5418,8.9987,4,0.499974
4.3769,0.5000,9.5418,8.9988,4,0.499974
4.4975,0.5000,9.5418,8.9988,4,0.499975
4.6181,0.5000,9.5415,8.9982,5,0.499962
4.7387,0.5000,9.5416,8.9982,5,0.499963
4.8593,0.5000,9.5416,8.9983,5,0.499964
4.9799,0.5000,9.5416,8.9983,5,0.499965
5.1005,0.5000,9.5416,8.9983,5,0.499966
5.2211,0.5000,9.5416,8.9984,5,0.499966
5.3417,0.5000,9.5417,8.9984,5,0.499967
5.4623,0.5000,9.5417,8.9985,5,0.499968
5.5829,0.5000,9.5414,8.9978,6,0.499955
5.7035,0.5000,9.5414,8.9979,6,0.499956
5.8241,0.5000,9.5414,8.9979,6,0.499957
5.9447,0.5000,9.5414,8.9980,6,0.499957
6.0653,0.5000,9.5415,8.9980,6,0.499958
6.1859,0.5000,9.5415,8.9980,6,0.499959
6.3065,0.5000,9.5415,8.9981,6,0.499960
6.4271,0.5000,9.5415,8.9981,6,0.499961
6.5477,0.5000,9.5412,8.9975,7,0.499947
6.6683,0.5000,9.5412,8.9975,7,0.499948
6.7889,0.5000,9.5412,8.9976,7,0.499949
6.9095,0.5000,9.5413,8.9976,7,0.499950
7.0302,0.5000,9.5413,8.9976,7,0.499951
7.1508,0.5000,9.5413,8.9977,7,0.499952
7.2714,0.5000,9.5413,8.9977,7,0.499953
7.3920,0.5000,9.5413,8.9978,7,0.499953
7.5126,0.5000,9.5410,8.9971,8,0.499940
7.6332,0.5000,9.5411,8.9972,8,0.499941
7.7538,0.5000,9.5411,8.9972,8,0.499942
7.8744,0.5000,9.5411,8.9973,8,0.499943
7.9950,0.5000,9.5411,8.9973,8,0.499944
8.1156,0.5000,9.5411,8.9973,8,0.499945
8.2362,0.5000,9.5412,8.9974,8,0.499945
8.3568,0.5000,9.5412,8.9974,8,0.499946
8.4774,0.5000,9.5412,8.9975,8,0.499947
8.5980,0.5000,9.5409,8.9968,9,0.499934
8.7186,0.5000,9.5409,8.9969,9,0.499935
8.8392,0.5000,9.5409,8.9969,9,0.499936
8.9598,0.5000,9.5410,8.9969,9,0.499936
