L_mm,n_target,f_target_kHz,delta_f_kHz,n_modes_in_bw,node_spacing_mm,organoid_count
1.0000,1,750.0000,750.0000,1,1.000000,1
1.0481,1,715.5832,715.5832,1,1.048096,1
1.0962,1,684.1865,684.1865,0,1.096192,1
1.1443,1,655.4291,655.4291,0,1.144289,1
1.1924,1,628.9916,628.9916,0,1.192385,1
1.2405,1,604.6042,604.6042,0,1.240481,1
1.2886,1,582.0373,582.0373,0,1.288577,1
1.3367,1,561.0945,561.0945,0,1.336673,1
1.3848,1,541.6064,541.6064,0,1.384770,1
1.4329,1,523.4266,523.4266,0,1.432866,1
1.4810,1,506.4276,506.4276,0,1.480962,1
1.5291,2,980.9961,490.4980,0,0.764529,2
1.5772,2,951.0801,475.5400,0,0.788577,2
1.6253,2,922.9346,461.4673,0,0.812625,2
1.6733,2,896.4072,448.2036,0,0.836673,2
1.7214,2,871.3620,435.6810,0,0.860721,2
1.7695,2,847.6784,423.8392,0,0.884770,2
1.8176,2,825.2481,412.6240,0,0.908818,2
1.8657,2,803.9742,401.9871,0,0.932866,2
1.9138,2,783.7696,391.8848,1,0.956914,2
1.9619,2,764.5557,382.2778,1,0.980962,2
2.0100,2,746.2612,373.1306,1,1.005010,2
2.0581,2,728.8218,364.4109,1,1.029058,2
2.1062,2,712.1789,356.0894,1,1.053106,2
2.1543,2,696.2791,348.1395,1,1.077154,2
2.2024,2,681.0737,340.5369,0,1.101202,2
2.2505,2,666.5183,333.2591,0,1.125251,2
2.2986,2,652.5719,326.2860,0,1.149299,2
2.3467,2,639.1973,319.5986,0,1.173347,2
2.3948,2,626.3598,313.1799,0,1.197395,2
2.4429,2,614.0279,307.0139,0,1.221443,2
2.4910,2,602.1722,301.0861,0,1.245491,2
2.5391,3,886.1484,295.3828,0,0.846359,3
2.5872,3,869.6747,289.8916,0,0.862391,3
2.6353,3,853.8023,284.6008,0,0.878424,3
2.6834,3,838.4989,279.4996,0,0.894456,3
2.7315,3,823.7344,274.5781,0,0.910488,3
2.7796,3,809.4809,269.8270,0,0.926520,3
2.8277,3,795.7123,265.2374,0,0.942552,3
2.8758,3,782.4042,260.8014,1,0.958584,3
2.9238,3,769.5339,256.5113,1,0.974616,3
2.9719,3,757.0802,252.3601,1,0.990648,3
3.0200,3,745.0232,248.3411,1,1.006680,3
3.0681,3,733.3442,244.4481,1,1.022712,3
3.1162,3,722.0257,240.6752,1,1.038744,3
3.1643,3,711.0513,237.0171,1,1.054776,3
3.2124,3,700.4055,233.4685,1,1.070808,3
3.2605,3,690.0738,230.0246,0,1.086840,3
3.3086,3,680.0424,226.6808,0,1.102872,3
3.3567,3,670.2985,223.4328,0,1.118904,3
3.4048,3,660.8299,220.2766,0,1.134937,3
3.4529,3,651.6251,217.2084,0,1.150969,3
3.5010,4,856.8975,214.2244,0,0.875251,4
3.5491,4,845.2851,211.3213,0,0.887275,4
3.5972,4,833.9833,208.4958,0,0.899299,4
3.6453,4,822.9797,205.7449,0,0.911323,4
3.6934,4,812.2626,203.0657,0,0.923347,4
3.7415,4,801.8211,200.4553,0,0.935371,4
3.7896,4,791.6446,197.9112,0,0.947395,4
3.8377,4,781.7232,195.4308,1,0.959419,4
3.8858,4,772.0474,193.0119,1,0.971443,4
3.9339,4,762.6083,190.6521,1,0.983467,4
3.9820,4,753.3971,188.3493,1,0.995491,4
4.0301,4,744.4058,186.1014,1,1.007515,4
