L_mm,node_index,x_mm,p_sq_glass,p_sq_silicon,F_glass,F_silicon,F_glass_norm,F_silicon_norm,F_gorkov_glass_N,F_gorkov_silicon_N
5.0000,0,0.500000,0.04524686,0.02009130,1.06926288e-02,7.40807707e-03,0.999521,0.999259,2.59543413e-25,1.79817110e-25
5.0000,1,1.500000,0.04525755,0.02009871,1.06939078e-02,7.40944972e-03,0.999641,0.999444,2.59574458e-25,1.79850429e-25
5.0000,2,2.500000,0.04526825,0.02010612,1.06951911e-02,7.41082435e-03,0.999761,0.999629,2.59605607e-25,1.79883795e-25
5.0000,3,3.500000,0.04527895,0.02011353,1.06964725e-02,7.41219829e-03,0.999880,0.999815,2.59636711e-25,1.79917145e-25
5.0000,4,4.500000,0.04528964,0.02012095,1.06977529e-02,7.41357132e-03,1.000000,1.000000,2.59667791e-25,1.79950473e-25
10.0000,0,0.500000,0.04519977,0.02005710,1.06877240e-02,7.40224904e-03,0.998922,0.998332,2.59424360e-25,1.79675646e-25
10.0000,1,1.500000,0.04521046,0.02006450,1.06890054e-02,7.40362282e-03,0.999042,0.998518,2.59455462e-25,1.79708992e-25
10.0000,2,2.500000,0.04522115,0.02007191,1.06902874e-02,7.40499693e-03,0.999162,0.998703,2.59486580e-25,1.79742346e-25
10.0000,3,3.500000,0.04523184,0.02007931,1.06915687e-02,7.40637085e-03,0.999281,0.998888,2.59517681e-25,1.79775695e-25
10.0000,4,4.500000,0.04524253,0.02008672,1.06928500e-02,7.40774440e-03,0.999401,0.999074,2.59548783e-25,1.79809035e-25
10.0000,5,5.500000,0.04525323,0.02009413,1.06941313e-02,7.40911834e-03,0.999521,0.999259,2.59579883e-25,1.79842385e-25
10.0000,6,6.500000,0.04526392,0.02010154,1.06954139e-02,7.41049286e-03,0.999641,0.999444,2.59611016e-25,1.79875749e-25
10.0000,7,7.500000,0.04527462,0.02010895,1.06966942e-02,7.41186583e-03,0.999760,0.999629,2.59642093e-25,1.79909075e-25
10.0000,8,8.500000,0.04528531,0.02011636,1.06979765e-02,7.41324052e-03,0.999880,0.999815,2.59673219e-25,1.79942443e-25
10.0000,9,9.500000,0.04529601,0.02012378,1.06992576e-02,7.41461397e-03,1.000000,1.000000,2.59704314e-25,1.79975781e-25
20.0000,0,0.500000,0.04510564,0.01998877,1.06779127e-02,7.39058896e-03,0.997724,0.996479,2.59186207e-25,1.79392619e-25
20.0000,1,1.500000,0.04511632,0.01999616,1.06791944e-02,7.39196322e-03,0.997844,0.996665,2.59217319e-25,1.79425977e-25
20.0000,2,2.500000,0.04512700,0.02000355,1.06804760e-02,7.39333740e-03,0.997964,0.996850,2.59248428e-25,1.79459332e-25
20.0000,3,3.500000,0.04513768,0.02001095,1.06817579e-02,7.39471159e-03,0.998084,0.997035,2.59279542e-25,1.79492688e-25
20.0000,4,4.500000,0.04514836,0.02001834,1.06830398e-02,7.39608595e-03,0.998203,0.997221,2.59310658e-25,1.79526048e-25
20.0000,5,5.500000,0.04515905,0.02002574,1.06843213e-02,7.39745988e-03,0.998323,0.997406,2.59341764e-25,1.79559398e-25
20.0000,6,6.500000,0.04516973,0.02003314,1.06856032e-02,7.39883419e-03,0.998443,0.997591,2.59372881e-25,1.79592757e-25
20.0000,7,7.500000,0.04518042,0.02004054,1.06868852e-02,7.40020859e-03,0.998563,0.997776,2.59403998e-25,1.79626118e-25
20.0000,8,8.500000,0.04519111,0.02004794,1.06881669e-02,7.40158283e-03,0.998683,0.997962,2.59435109e-25,1.79659475e-25
20.0000,9,9.500000,0.04520179,0.02005534,1.06894487e-02,7.40295695e-03,0.998802,0.998147,2.59466223e-25,1.79692829e-25
20.0000,10,10.500000,0.04521248,0.02006274,1.06907304e-02,7.40433119e-03,0.998922,0.998332,2.59497334e-25,1.79726186e-25
20.0000,11,11.500000,0.04522318,0.02007015,1.06920124e-02,7.40570555e-03,0.999042,0.998518,2.59528451e-25,1.79759546e-25
20.0000,12,12.500000,0.04523387,0.02007755,1.06932945e-02,7.40708004e-03,0.999162,0.998703,2.59559573e-25,1.79792909e-25
20.0000,13,13.500000,0.04524456,0.02008496,1.06945761e-02,7.40845405e-03,0.999281,0.998888,2.59590682e-25,1.79826261e-25
20.0000,14,14.500000,0.04525526,0.02009237,1.06958580e-02,7.40982849e-03,0.999401,0.999074,2.59621796e-25,1.79859623e-25
20.0000,15,15.500000,0.04526595,0.02009978,1.06971397e-02,7.41120261e-03,0.999521,0.999259,2.59652908e-25,1.79892977e-25
20.0000,16,16.500000,0.04527665,0.02010719,1.06984215e-02,7.41257685e-03,0.999641,0.999444,2.59684020e-25,1.79926334e-25
20.0000,17,17.500000,0.04528735,0.02011461,1.06997037e-02,7.41395141e-03,0.999761,0.999629,2.59715143e-25,1.79959699e-25
20.0000,18,18.500000,0.04529805,0.02012202,1.07009853e-02,7.41532543e-03,0.999880,0.999815,2.59746252e-25,1.79993050e-25
20.0000,19,19.500000,0.04530875,0.02012944,1.07022668e-02,7.41669963e-03,1.000000,1.000000,2.59777359e-25,1.80026407e-25
