L_mm,df_frac,df_kHz,f_actual_kHz,spacing_error_um,contrast_mid_dB,p_sq_mid
5.0000,-0.020000,-15.0000,735.0000,20.4082,18.4811,0.12233498
5.0000,-0.019920,-14.9399,735.0601,20.3247,18.4811,0.12172350
5.0000,-0.019840,-14.8798,735.1202,20.2413,18.4811,0.12111438
5.0000,-0.019760,-14.8196,735.1804,20.1578,18.4811,0.12050765
5.0000,-0.019679,-14.7595,735.2405,20.0744,18.4811,0.11990329
5.0000,-0.019599,-14.6994,735.3006,19.9910,18.4811,0.11930131
5.0000,-0.019519,-14.6393,735.3607,19.9076,18.4811,0.11870170
5.0000,-0.019439,-14.5792,735.4208,19.8242,18.4811,0.11810448
5.0000,-0.019359,-14.5190,735.4810,19.7409,18.4811,0.11750964
5.0000,-0.019279,-14.4589,735.5411,19.6575,18.4811,0.11691718
5.0000,-0.019198,-14.3988,735.6012,19.5742,18.4811,0.11632711
5.0000,-0.019118,-14.3387,735.6613,19.4909,18.4811,0.11573941
5.0000,-0.019038,-14.2786,735.7214,19.4076,18.4811,0.11515411
5.0000,-0.018958,-14.2184,735.7816,19.3243,18.4811,0.11457118
5.0000,-0.018878,-14.1583,735.8417,19.2410,18.4811,0.11399065
5.0000,-0.018798,-14.0982,735.9018,19.1577,18.4811,0.11341250
5.0000,-0.018717,-14.0381,735.9619,19.0745,18.4811,0.11283674
5.0000,-0.018637,-13.9780,736.0220,18.9912,18.4811,0.11226337
5.0000,-0.018557,-13.9178,736.0822,18.9080,18.4811,0.11169239
5.0000,-0.018477,-13.8577,736.1423,18.8248,18.4811,0.11112380
5.0000,-0.018397,-13.7976,736.2024,18.7416,18.4811,0.11055760
5.0000,-0.018317,-13.7375,736.2625,18.6584,18.4811,0.10999380
5.0000,-0.018236,-13.6774,736.3226,18.5752,18.4811,0.10943239
5.0000,-0.018156,-13.6172,736.3828,18.4921,18.4811,0.10887337
5.0000,-0.018076,-13.5571,736.4429,18.4089,18.4811,0.10831675
5.0000,-0.017996,-13.4970,736.5030,18.3258,18.4811,0.10776253
5.0000,-0.017916,-13.4369,736.5631,18.2427,18.4811,0.10721070
5.0000,-0.017836,-13.3768,736.6232,18.1596,18.4811,0.10666127
5.0000,-0.017756,-13.3166,736.6834,18.0765,18.4811,0.10611425
5.0000,-0.017675,-13.2565,736.7435,17.9934,18.4811,0.10556962
5.0000,-0.017595,-13.1964,736.8036,17.9103,18.4811,0.10502739
5.0000,-0.017515,-13.1363,736.8637,17.8273,18.4811,0.10448756
5.0000,-0.017435,-13.0762,736.9238,17.7442,18.4811,0.10395014
5.0000,-0.017355,-13.0160,736.9840,17.6612,18.4811,0.10341512
5.0000,-0.017275,-12.9559,737.0441,17.5782,18.4811,0.10288250
5.0000,-0.017194,-12.8958,737.1042,17.4952,18.4811,0.10235229
5.0000,-0.017114,-12.8357,737.1643,17.4122,18.4811,0.10182449
5.0000,-0.017034,-12.7756,737.2244,17.3293,18.4811,0.10129909
5.0000,-0.016954,-12.7154,737.2846,17.2463,18.4811,0.10077610
5.0000,-0.016874,-12.6553,737.3447,17.1634,18.4811,0.10025552
5.0000,-0.016794,-12.5952,737.4048,17.0804,18.4811,0.09973734
5.0000,-0.016713,-12.5351,737.4649,16.9975,18.4811,0.09922158
5.0000,-0.016633,-12.4749,737.5251,16.9146,18.4811,0.09870823
5.0000,-0.016553,-12.4148,737.5852,16.8317,18.4811,0.09819729
5.0000,-0.016473,-12.3547,737.6453,16.7488,18.4811,0.09768876
5.0000,-0.016393,-12.2946,737.7054,16.6660,18.4811,0.09718265
5.0000,-0.016313,-12.2345,737.7655,16.5831,18.4811,0.09667895
5.0000,-0.016232,-12.1743,737.8257,16.5003,18.4811,0.09617766
5.0000,-0.016152,-12.1142,737.8858,16.4175,18.4811,0.09567879
5.0000,-0.016072,-12.0541,737.9459,16.3347,18.4811,0.09518234
5.0000,-0.015992,-11.9940,738.0060,16.2519,18.4811,0.09468830
5.0000,-0.015912,-11.9339,738.0661,16.1691,18.4811,0.09419668
5.0000,-0.015832,-11.8737,738.1263,16.0863,18.4811,0.09370749
5.0000,-0.015752,-11.8136,738.1864,16.0036,18.4811,0.09322071
5.0000,-0.015671,-11.7535,738.2465,15.9208,18.4811,0.09273635
5.0000,-0.015591,-11.6934,738.3066,15.8381,18.4811,0.09225441
5.0000,-0.015511,-11.6333,738.3667,15.7554,18.4811,0.09177489
5.0000,-0.015431,-11.5731,738.4269,15.6727,18.4811,0.09129780
5.0000,-0.015351,-11.5130,738.4870,15.5900,18.4811,0.09082313
5.0000,-0.015271,-11.4529,738.5471,15.5073,18.4811,0.09035089
5.0000,-0.015190,-11.3928,738.6072,15.4247,18.4811,0.08988107
5.0000,-0.015110,-11.3327,738.6673,15.3420,18.4811,0.08941367
5.0000,-0.015030,-11.2725,738.7275,15.2594,18.4811,0.08894871
5.0000,-0.014950,-11.2124,738.7876,15.1768,18.4811,0.08848616
5.0000,-0.014870,-11.1523,738.8477,15.0942,18.4811,0.08802605
5.0000,-0.014790,-11.0922,738.9078,15.0116,18.4811,0.08756837
5.0000,-0.014709,-11.0321,738.9679,14.9290,18.4811,0.08711311
5.0000,-0.014629,-10.9719,739.0281,14.8465,18.4811,0.08666029
5.0000,-0.014549,-10.9118,739.0882,14.7639,18.4811,0.08620989
5.0000,-0.014469,-10.8517,739.1483,14.6814,18.4811,0.08576193
5.0000,-0.014389,-10.7916,739.2084,14.5988,18.4811,0.08531640
5.0000,-0.014309,-10.7315,739.2685,14.5163,18.4811,0.08487331
5.0000,-0.014228,-10.6713,739.3287,14.4338,18.4811,0.08443264
5.0000,-0.014148,-10.6112,739.3888,14.3513,18.4811,0.08399441
5.0000,-0.014068,-10.5511,739.4489,14.2689,18.4811,0.08355862
5.0000,-0.013988,-10.4910,739.5090,14.1864,18.4811,0.08312526
5.0000,-0.013908,-10.4309,739.5691,14.1040,18.4811,0.08269434
5.0000,-0.013828,-10.3707,739.6293,14.0215,18.4811,0.08226585
5.0000,-0.013747,-10.3106,739.6894,13.9391,18.4811,0.08183981
5.0000,-0.013667,-10.2505,739.7495,13.8567,18.4811,0.08141620
5.0000,-0.013587,-10.1904,739.8096,13.7743,18.4811,0.08099503
5.0000,-0.013507,-10.1303,739.8697,13.6920,18.4811,0.08057630
5.0000,-0.013427,-10.0701,739.9299,13.6096,18.4811,0.08016001
5.0000,-0.013347,-10.0100,739.9900,13.5272,18.4811,0.07974616
5.0000,-0.013267,-9.9499,740.0501,13.4449,18.4811,0.07933476
5.0000,-0.013186,-9.8898,740.1102,13.3626,18.4811,0.07892579
5.0000,-0.013106,-9.8297,740.1703,13.2803,18.4811,0.07851927
5.0000,-0.013026,-9.7695,740.2305,13.1980,18.4811,0.07811520
5.0000,-0.012946,-9.7094,740.2906,13.1157,18.4811,0.07771356
5.0000,-0.012866,-9.6493,740.3507,13.0334,18.4811,0.07731438
5.0000,-0.012786,-9.5892,740.4108,12.9512,18.4811,0.07691763
5.0000,-0.012705,-9.5291,740.4709,12.8689,18.4811,0.07652334
5.0000,-0.012625,-9.4689,740.5311,12.7867,18.4811,0.07613149
5.0000,-0.012545,-9.4088,740.5912,12.7045,18.4811,0.07574209
5.0000,-0.012465,-9.3487,740.6513,12.6223,18.4811,0.07535514
5.0000,-0.012385,-9.2886,740.7114,12.5401,18.4811,0.07497063
5.0000,-0.012305,-9.2285,740.7715,12.4579,18.4811,0.07458858
5.0000,-0.012224,-9.1683,740.8317,12.3757,18.4811,0.07420897
5.0000,-0.012144,-9.1082,740.8918,12.2936,18.4811,0.07383182
5.0000,-0.012064,-9.0481,740.9519,12.2114,18.4811,0.07345712
5.0000,-0.011984,-8.9880,741.0120,12.1293,18.4810,0.07308486
5.0000,-0.011904,-8.9279,741.0721,12.0472,18.4810,0.07271507
5.0000,-0.011824,-8.8677,741.1323,11.9651,18.4810,0.07234772
5.0000,-0.011743,-8.8076,741.1924,11.8830,18.4810,0.07198283
5.0000,-0.011663,-8.7475,741.2525,11.8010,18.4810,0.07162039
5.0000,-0.011583,-8.6874,741.3126,11.7189,18.4810,0.07126040
5.0000,-0.011503,-8.6273,741.3727,11.6369,18.4810,0.07090288
5.0000,-0.011423,-8.5671,741.4329,11.5548,18.4810,0.07054780
5.0000,-0.011343,-8.5070,741.4930,11.4728,18.4810,0.07019519
5.0000,-0.011263,-8.4469,741.5531,11.3908,18.4810,0.06984503
5.0000,-0.011182,-8.3868,741.6132,11.3088,18.4810,0.06949733
5.0000,-0.011102,-8.3267,741.6733,11.2268,18.4810,0.06915208
5.0000,-0.011022,-8.2665,741.7335,11.1449,18.4810,0.06880930
5.0000,-0.010942,-8.2064,741.7936,11.0629,18.4810,0.06846897
5.0000,-0.010862,-8.1463,741.8537,10.9810,18.4810,0.06813110
5.0000,-0.010782,-8.0862,741.9138,10.8991,18.4810,0.06779570
5.0000,-0.010701,-8.0261,741.9739,10.8172,18.4810,0.06746275
5.0000,-0.010621,-7.9659,742.0341,10.7353,18.4810,0.06713227
5.0000,-0.010541,-7.9058,742.0942,10.6534,18.4810,0.06680425
5.0000,-0.010461,-7.8457,742.1543,10.5715,18.4810,0.06647869
5.0000,-0.010381,-7.7856,742.2144,10.4897,18.4810,0.06615559
5.0000,-0.010301,-7.7255,742.2745,10.4078,18.4810,0.06583496
5.0000,-0.010220,-7.6653,742.3347,10.3260,18.4810,0.06551679
5.0000,-0.010140,-7.6052,742.3948,10.2442,18.4810,0.06520108
5.0000,-0.010060,-7.5451,742.4549,10.1624,18.4810,0.06488784
5.0000,-0.009980,-7.4850,742.5150,10.0806,18.4810,0.06457706
5.0000,-0.009900,-7.4248,742.5752,9.9988,18.4810,0.06426875
5.0000,-0.009820,-7.3647,742.6353,9.9170,18.4810,0.06396291
5.0000,-0.009739,-7.3046,742.6954,9.8353,18.4810,0.06365953
5.0000,-0.009659,-7.2445,742.7555,9.7535,18.4810,0.06335863
5.0000,-0.009579,-7.1844,742.8156,9.6718,18.4810,0.06306018
5.0000,-0.009499,-7.1242,742.8758,9.5901,18.4810,0.06276421
5.0000,-0.009419,-7.0641,742.9359,9.5084,18.4810,0.06247071
5.0000,-0.009339,-7.0040,742.9960,9.4267,18.4810,0.06217967
5.0000,-0.009259,-6.9439,743.0561,9.3450,18.4810,0.06189111
5.0000,-0.009178,-6.8838,743.1162,9.2634,18.4810,0.06160501
5.0000,-0.009098,-6.8236,743.1764,9.1817,18.4810,0.06132139
5.0000,-0.009018,-6.7635,743.2365,9.1001,18.4810,0.06104023
5.0000,-0.008938,-6.7034,743.2966,9.0185,18.4810,0.06076155
5.0000,-0.008858,-6.6433,743.3567,8.9369,18.4810,0.06048534
5.0000,-0.008778,-6.5832,743.4168,8.8553,18.4810,0.06021160
5.0000,-0.008697,-6.5230,743.4770,8.7737,18.4810,0.05994034
5.0000,-0.008617,-6.4629,743.5371,8.6921,18.4810,0.05967154
5.0000,-0.008537,-6.4028,743.5972,8.6106,18.4810,0.05940522
5.0000,-0.008457,-6.3427,743.6573,8.5290,18.4810,0.05914138
5.0000,-0.008377,-6.2826,743.7174,8.4475,18.4810,0.05888001
5.0000,-0.008297,-6.2224,743.7776,8.3660,18.4810,0.05862112
5.0000,-0.008216,-6.1623,743.8377,8.2845,18.4810,0.05836470
5.0000,-0.008136,-6.1022,743.8978,8.2030,18.4810,0.05811075
5.0000,-0.008056,-6.0421,743.9579,8.1215,18.4810,0.05785928
5.0000,-0.007976,-5.9820,744.0180,8.0401,18.4810,0.05761029
5.0000,-0.007896,-5.9218,744.0782,7.9586,18.4810,0.05736378
5.0000,-0.007816,-5.8617,744.1383,7.8772,18.4810,0.05711974
5.0000,-0.007735,-5.8016,744.1984,7.7958,18.4810,0.05687818
5.0000,-0.007655,-5.7415,744.2585,7.7144,18.4810,0.05663910
5.0000,-0.007575,-5.6814,744.3186,7.6330,18.4810,0.05640250
5.0000,-0.007495,-5.6212,744.3788,7.5516,18.4810,0.05616837
5.0000,-0.007415,-5.5611,744.4389,7.4702,18.4810,0.05593673
5.0000,-0.007335,-5.5010,744.4990,7.3889,18.4810,0.05570756
5.0000,-0.007255,-5.4409,744.5591,7.3075,18.4810,0.05548087
5.0000,-0.007174,-5.3808,744.6192,7.2262,18.4810,0.05525667
5.0000,-0.007094,-5.3206,744.6794,7.1449,18.4810,0.05503494
5.0000,-0.007014,-5.2605,744.7395,7.0636,18.4810,0.05481570
5.0000,-0.006934,-5.2004,744.7996,6.9823,18.4810,0.05459894
5.0000,-0.006854,-5.1403,744.8597,6.9010,18.4810,0.05438466
5.0000,-0.006774,-5.0802,744.9198,6.8197,18.4810,0.05417286
5.0000,-0.006693,-5.0200,744.9800,6.7385,18.4810,0.05396354
5.0000,-0.006613,-4.9599,745.0401,6.6573,18.4810,0.05375671
5.0000,-0.006533,-4.8998,745.1002,6.5760,18.4810,0.05355236
