L_mm,n_organoids,freq_kHz,Q_glass,Q_silicon,contrast_mid_dB_glass,contrast_mid_dB_silicon,F_min_norm_glass,F_min_norm_silicon,F_max_glass,F_max_silicon,T_coupling_741kHz
1.0000,1,750.0000,8.26,11.92,18.4830,22.3441,1.000000,1.000000,1.06965471e-02,7.41273501e-03,0.800819
1.0481,1,715.5832,8.26,11.92,18.4830,22.3442,1.000000,1.000000,9.73738003e-03,6.74804008e-03,0.800819
1.0962,1,684.1865,8.26,11.92,18.4831,22.3442,1.000000,1.000000,8.90166322e-03,6.16889329e-03,0.800819
1.1443,1,655.4291,8.26,11.92,18.4831,22.3442,1.000000,1.000000,8.16910163e-03,5.66123433e-03,0.800819
1.1924,1,628.9916,8.26,11.92,18.4831,22.3443,1.000000,1.000000,7.52338290e-03,5.21375167e-03,0.800819
1.2405,1,604.6042,8.26,11.92,18.4831,22.3443,1.000000,1.000000,6.95130293e-03,4.81730384e-03,0.800819
1.2886,1,582.0373,8.26,11.92,18.4831,22.3443,1.000000,1.000000,6.44207567e-03,4.46440779e-03,0.800819
1.3367,1,561.0945,8.26,11.92,18.4831,22.3443,1.000000,1.000000,5.98682386e-03,4.14891952e-03,0.800819
1.3848,1,541.6064,8.26,11.92,18.4832,22.3444,1.000000,1.000000,5.57818166e-03,3.86573040e-03,0.800819
1.4329,1,523.4266,8.26,11.92,18.4832,22.3444,1.000000,1.000000,5.20998987e-03,3.61057326e-03,0.800819
1.4810,1,506.4276,8.26,11.92,18.4832,22.3444,1.000000,1.000000,4.87708644e-03,3.37987137e-03,0.800819
1.5291,2,980.9961,16.52,23.83,18.4822,22.3429,0.999844,0.999758,1.83006863e-02,1.26822959e-02,0.800819
1.5772,2,951.0801,16.52,23.83,18.4822,22.3429,0.999849,0.999765,1.72015286e-02,1.19206016e-02,0.800819
1.6253,2,922.9346,16.52,23.83,18.4823,22.3430,0.999853,0.999772,1.61985056e-02,1.12255220e-02,0.800819
1.6733,2,896.4072,16.52,23.83,18.4823,22.3430,0.999857,0.999778,1.52807180e-02,1.05895102e-02,0.800819
1.7214,2,871.3620,16.52,23.83,18.4823,22.3431,0.999861,0.999785,1.44387775e-02,1.00060585e-02,0.800819
1.7695,2,847.6784,16.52,23.83,18.4824,22.3431,0.999865,0.999791,1.36645520e-02,9.46953074e-03,0.800819
1.8176,2,825.2481,16.52,23.83,18.4824,22.3432,0.999868,0.999796,1.29509703e-02,8.97502656e-03,0.800819
1.8657,2,803.9742,16.52,23.83,18.4824,22.3432,0.999872,0.999802,1.22918562e-02,8.51826986e-03,0.800819
1.9138,2,783.7696,16.52,23.83,18.4825,22.3433,0.999875,0.999806,1.16818117e-02,8.09551542e-03,0.800819
1.9619,2,764.5557,16.52,23.83,18.4825,22.3433,0.999878,0.999811,1.11160781e-02,7.70346689e-03,0.800819
2.0100,2,746.2612,16.52,23.83,18.4825,22.3434,0.999880,0.999815,1.05904703e-02,7.33922555e-03,0.800819
2.0581,2,728.8218,16.52,23.83,18.4825,22.3434,0.999884,0.999820,1.01012759e-02,7.00021795e-03,0.800819
2.1062,2,712.1789,16.52,23.83,18.4826,22.3434,0.999886,0.999824,9.64520906e-03,6.68416689e-03,0.800819
2.1543,2,696.2791,16.52,23.83,18.4826,22.3435,0.999889,0.999828,9.21934965e-03,6.38904918e-03,0.800819
2.2024,2,681.0737,16.52,23.83,18.4826,22.3435,0.999891,0.999832,8.82108254e-03,6.11305112e-03,0.800819
2.2505,2,666.5183,16.52,23.83,18.4826,22.3435,0.999894,0.999835,8.44807336e-03,5.85455978e-03,0.800819
2.2986,2,652.5719,16.52,23.83,18.4826,22.3436,0.999895,0.999838,8.09823686e-03,5.61212438e-03,0.800819
2.3467,2,639.1973,16.52,23.83,18.4827,22.3436,0.999898,0.999842,7.76968653e-03,5.38444020e-03,0.800819
2.3948,2,626.3598,16.52,23.83,18.4827,22.3436,0.999900,0.999845,7.46073290e-03,5.17033583e-03,0.800819
2.4429,2,614.0279,16.52,23.83,18.4827,22.3436,0.999902,0.999848,7.16984682e-03,4.96875246e-03,0.800819
2.4910,2,602.1722,16.52,23.83,18.4827,22.3437,0.999904,0.999851,6.89564733e-03,4.77873237e-03,0.800819
2.5391,3,886.1484,24.77,35.74,18.4817,22.3421,0.999717,0.999562,1.49334606e-02,1.03488661e-02,0.800819
2.5872,3,869.6747,24.77,35.74,18.4818,22.3422,0.999722,0.999570,1.43833796e-02,9.96766772e-03,0.800819
2.6353,3,853.8023,24.77,35.74,18.4818,22.3422,0.999727,0.999578,1.38631442e-02,9.60715247e-03,0.800819
2.6834,3,838.4989,24.77,35.74,18.4818,22.3423,0.999732,0.999586,1.33706291e-02,9.26584592e-03,0.800819
2.7315,3,823.7344,24.77,35.74,18.4819,22.3423,0.999737,0.999593,1.29039022e-02,8.94241017e-03,0.800819
2.7796,3,809.4809,24.77,35.74,18.4819,22.3424,0.999741,0.999600,1.24611947e-02,8.63561898e-03,0.800819
2.8277,3,795.7123,24.77,35.74,18.4819,22.3424,0.999746,0.999607,1.20408822e-02,8.34434682e-03,0.800819
2.8758,3,782.4042,24.77,35.74,18.4819,22.3424,0.999750,0.999613,1.16414857e-02,8.06756861e-03,0.800819
2.9238,3,769.5339,24.77,35.74,18.4820,22.3425,0.999754,0.999620,1.12616367e-02,7.80433712e-03,0.800819
2.9719,3,757.0802,24.77,35.75,18.4820,22.3425,0.999758,0.999626,1.09000761e-02,7.55378003e-03,0.800819
3.0200,3,745.0232,24.77,35.75,18.4820,22.3426,0.999762,0.999632,1.05556526e-02,7.31509660e-03,0.800819
3.0681,3,733.3442,24.77,35.75,18.4820,22.3426,0.999766,0.999638,1.02273028e-02,7.08755316e-03,0.800819
3.1162,3,722.0257,24.77,35.75,18.4821,22.3426,0.999770,0.999643,9.91403711e-03,6.87046252e-03,0.800819
3.1643,3,711.0513,24.78,35.75,18.4821,22.3427,0.999773,0.999649,9.61494872e-03,6.66319645e-03,0.800819
3.2124,3,700.4055,24.78,35.75,18.4821,22.3427,0.999776,0.999654,9.32919293e-03,6.46516918e-03,0.800819
3.2605,3,690.0738,24.78,35.75,18.4821,22.3427,0.999780,0.999659,9.05598765e-03,6.27584044e-03,0.800819
3.3086,3,680.0424,24.78,35.75,18.4821,22.3428,0.999783,0.999664,8.79460982e-03,6.09470647e-03,0.800819
3.3567,3,670.2985,24.78,35.75,18.4822,22.3428,0.999786,0.999669,8.54438845e-03,5.92130433e-03,0.800819
3.4048,3,660.8299,24.78,35.75,18.4822,22.3428,0.999789,0.999674,8.30469545e-03,5.75519865e-03,0.800819
3.4529,3,651.6251,24.78,35.75,18.4822,22.3429,0.999792,0.999678,8.07494981e-03,5.59598600e-03,0.800819
3.5010,4,856.8975,33.03,47.65,18.4812,22.3413,0.999590,0.999365,1.39642893e-02,9.67724446e-03,0.800819
3.5491,4,845.2851,33.03,47.65,18.4812,22.3414,0.999595,0.999374,1.35883648e-02,9.41673394e-03,0.800819
3.5972,4,833.9833,33.03,47.65,18.4813,22.3414,0.999600,0.999382,1.32274193e-02,9.16660332e-03,0.800819
3.6453,4,822.9797,33.03,47.65,18.4813,22.3414,0.999606,0.999390,1.28806640e-02,8.92630604e-03,0.800819
3.6934,4,812.2626,33.03,47.65,18.4813,22.3415,0.999611,0.999398,1.25473696e-02,8.69533698e-03,0.800819
3.7415,4,801.8211,33.03,47.65,18.4814,22.3415,0.999616,0.999406,1.22268453e-02,8.47321725e-03,0.800819
3.7896,4,791.6446,33.03,47.65,18.4814,22.3416,0.999621,0.999413,1.19184473e-02,8.25950060e-03,0.800819
3.8377,4,781.7232,33.03,47.65,18.4814,22.3416,0.999625,0.999421,1.16215714e-02,8.05376888e-03,0.800819
3.8858,4,772.0474,33.03,47.65,18.4814,22.3417,0.999630,0.999428,1.13356507e-02,7.85562877e-03,0.800819
3.9339,4,762.6083,33.03,47.65,18.4815,22.3417,0.999635,0.999435,1.10601548e-02,7.66471266e-03,0.800819
3.9820,4,753.3971,33.03,47.66,18.4815,22.3417,0.999639,0.999441,1.07945823e-02,7.48067290e-03,0.800819
4.0301,4,744.4058,33.03,47.66,18.4815,22.3418,0.999643,0.999448,1.05384592e-02,7.30318200e-03,0.800819
4.0782,4,735.6265,33.03,47.66,18.4815,22.3418,0.999648,0.999455,1.02913454e-02,7.13193415e-03,0.800819
4.1263,4,727.0520,33.03,47.66,18.4816,22.3419,0.999652,0.999461,1.00528238e-02,6.96664050e-03,0.800819
